"filename", "language", "CSS", "PHP", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\silky-overseas-limited.php", "PHP", 0, 79, 0, 0, 12, 91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\ssg-furnishing-solution-limited.php", "PHP", 0, 60, 0, 0, 14, 74
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\steelman-Telecom-Limited.php", "PHP", 0, 140, 0, 0, 12, 152
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\subam-papers-limited.php", "PHP", 0, 119, 0, 0, 13, 132
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\sudharshan-pharma-industries-limited.php", "PHP", 0, 160, 0, 0, 12, 172
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\suumaya-lifestyle-Limited.php", "PHP", 0, 120, 0, 0, 12, 132
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\tenty-limited.php", "PHP", 0, 79, 0, 0, 12, 91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\trackpoint-gps-limited.php", "PHP", 0, 79, 0, 0, 12, 91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\transteel-Seating-Technologies-Limited.php", "PHP", 0, 140, 0, 0, 12, 152
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\veeram-ornaments-limited.php", "PHP", 0, 120, 0, 0, 14, 134
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\yug-decor-limited.php", "PHP", 0, 139, 0, 0, 14, 153
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\zenith-drugs-limited.php", "PHP", 0, 140, 0, 0, 13, 153
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\anshuni-commercials-limited\index.php", "PHP", 0, 140, 0, 0, 13, 153
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\deepti-alloy-steel-limited\index.php", "PHP", 0, 220, 0, 0, 14, 234
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\econo-trade-india-limited\index.php", "PHP", 0, 240, 0, 0, 14, 254
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\index.php", "PHP", 0, 386, 0, 2, 51, 439
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\kwality-credit-and-leasing-limited\index.php", "PHP", 0, 180, 0, 0, 14, 194
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\neil-industries-limited\index.php", "PHP", 0, 200, 0, 0, 13, 213
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\ph-trading-limited\index.php", "PHP", 0, 160, 0, 0, 13, 173
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\prozone-realty-limited\index.php", "PHP", 0, 120, 0, 0, 13, 133
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\rcl-retails-limited\index.php", "PHP", 0, 220, 0, 0, 13, 233
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\reliance-jute-international-mills-limited\index.php", "PHP", 0, 200, 0, 0, 13, 213
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\sharad-fibres-&-yarn-processors-limited\index.php", "PHP", 0, 200, 0, 0, 13, 213
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\stratmont-industries-limited\index.php", "PHP", 0, 240, 0, 0, 13, 253
