"filename", "language", "CSS", "HTML", "PHP", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\shareholding-pattern.css", "CSS", 96, 0, 0, 0, 1, 17, 114
"c:\xampp\htdocs\Gretex Corporate main\css\offer-documents\open-offer\open-offer.css", "CSS", -1, 0, 0, 0, 0, 0, -1
"c:\xampp\htdocs\Gretex Corporate main\css\what-we-do\capital-markets\ipo.css", "CSS", 174, 0, 0, 0, 0, 17, 191
"c:\xampp\htdocs\Gretex Corporate main\css\what-we-do\services.css", "CSS", -690, 0, 0, 0, -7, -129, -826
"c:\xampp\htdocs\Gretex Corporate main\css\what-we-do\what-we-do-main.css", "CSS", 690, 0, 0, 0, 7, 129, 826
"c:\xampp\htdocs\Gretex Corporate main\footer.php", "PHP", 0, 0, -7, 0, 0, 1, -6
"c:\xampp\htdocs\Gretex Corporate main\header.php", "PHP", 0, 0, 7, 0, 0, 0, 7
"c:\xampp\htdocs\Gretex Corporate main\index.php", "PHP", 0, 0, 136, 0, 4, 14, 154
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\announcements.php", "PHP", 0, 0, 24, 0, 0, 2, 26
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\compliance-with-stock-exchange.php", "PHP", 0, 0, 545, 0, 4, 33, 582
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\composition-of-board-of-directors.php", "PHP", 0, 0, 56, 0, 0, 9, 65
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\memorandum-of-association-and-articles-of-association.php", "PHP", 0, 0, 60, 0, 0, 11, 71
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\notice-for-shareholders.php", "PHP", 0, 0, 24, 0, 0, 2, 26
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\scrutinizer-report.php", "PHP", 0, 0, 24, 0, 0, 2, 26
"c:\xampp\htdocs\Gretex Corporate main\js\about-page-animations.js", "JavaScript", 0, 0, 0, 3, 0, 2, 5
"c:\xampp\htdocs\Gretex Corporate main\js\global-animations.js", "JavaScript", 0, 0, 0, 13, 0, 1, 14
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\a-m-febcon-limited\index.php", "PHP", 0, 0, -2, 0, 0, 0, -2
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\aaron-industries-limited.php", "PHP", 0, 0, -117, 0, 0, -14, -131
