Date : 2025-06-05 11:27:24
Directory : c:\xampp\htdocs\Gretex Corporate main
Total : 242 files,  16391 codes, 457 comments, 1324 blanks, all 18172 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |        143 |     13,789 |         56 |        774 |     14,619 |
| PostCSS    |         96 |      2,604 |        401 |        546 |      3,551 |
| JavaScript |          3 |         -2 |          0 |          4 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\Gretex Corporate main\css\Ipo\transteel-seating-technologies-limited.css                                                                  | PostCSS    |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\Gretex Corporate main\css\Ipo\veeram-ornaments-limited.css                                                                                | PostCSS    |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\Gretex Corporate main\css\Ipo\yug-decor-limited.css                                                                                       | PostCSS    |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\Gretex Corporate main\css\Ipo\zenith-drugs-limited.css                                                                                    | PostCSS    |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\Gretex Corporate main\css\about\about.css                                                                                                 | PostCSS    |        117 |          2 |         21 |        140 |
| c:\xampp\htdocs\Gretex Corporate main\css\blog\blog-template.css                                                                                          | PostCSS    |        367 |          0 |         57 |        424 |
| c:\xampp\htdocs\Gretex Corporate main\css\blog\blog.css                                                                                                   | PostCSS    |        310 |          0 |         42 |        352 |
| c:\xampp\htdocs\Gretex Corporate main\css\careers\careers.css                                                                                             | PostCSS    |         79 |          1 |         51 |        131 |
| c:\xampp\htdocs\Gretex Corporate main\css\global copy 2.css                                                                                               | PostCSS    |        853 |        365 |        199 |      1,417 |
| c:\xampp\htdocs\Gretex Corporate main\css\global.css                                                                                                      | PostCSS    |         36 |         20 |         26 |         82 |
| c:\xampp\htdocs\Gretex Corporate main\css\index.css                                                                                                       | PostCSS    |       -106 |          0 |        -35 |       -141 |
| c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\announcements.css                                                                            | PostCSS    |       -138 |          0 |        -16 |       -154 |
| c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\codes-and-policies.css                                                                       | PostCSS    |       -158 |          0 |        -18 |       -176 |
| c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\compliance-with-stock-exchange.css                                                           | PostCSS    |       -132 |          0 |        -17 |       -149 |
| c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\gretex-rights-issue.css                                                                      | PostCSS    |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\investor-charter.css                                                                         | PostCSS    |       -214 |          0 |        -25 |       -239 |
| c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\investor-complaints.css                                                                      | PostCSS    |        -60 |          0 |          6 |        -54 |
| c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\investor-contact.css                                                                         | PostCSS    |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\investor-relations-main-template.css                                                         | PostCSS    |        154 |          0 |         21 |        175 |
| c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\investor-relations.css                                                                       | PostCSS    |        119 |          9 |         36 |        164 |
| c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\memorandum-of-association-and-articles-of-association.css                                    | PostCSS    |       -164 |          0 |        -21 |       -185 |
