"filename", "language", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\terms-and-condition-for-appointment-of-independent-director.php", "PHP", 59, 0, 0, 0, 10, 69
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\gretex-rights-issue.php", "PHP", 96, 0, 0, 0, 9, 105
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\index.php", "PHP", 491, 0, 0, 2, 33, 526
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\investor-charter.php", "PHP", 229, 0, 0, 0, 10, 239
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\investor-complaints.php", "PHP", 818, 0, 0, 0, 24, 842
"c:\xampp\htdocs\Gretex Corporate main\ipo\a-m-febcon-limited.php", "PHP", 119, 0, 0, 0, 17, 136
"c:\xampp\htdocs\Gretex Corporate main\ipo\aaron-industries-limited.php", "PHP", 117, 0, 0, 0, 14, 131
"c:\xampp\htdocs\Gretex Corporate main\ipo\aki-india-limited.php", "PHP", 77, 0, 0, 0, 12, 89
"c:\xampp\htdocs\Gretex Corporate main\ipo\akme-fintrade-India-limited.php", "PHP", 77, 0, 0, 0, 12, 89
"c:\xampp\htdocs\Gretex Corporate main\ipo\amic-forging-limited.php", "PHP", 116, 0, 0, 0, 14, 130
"c:\xampp\htdocs\Gretex Corporate main\ipo\anuroop-packaging-limited.php", "PHP", 134, 0, 0, 0, 12, 146
"c:\xampp\htdocs\Gretex Corporate main\ipo\associated-coaters-limited.php", "PHP", 96, 0, 0, 0, 12, 108
"c:\xampp\htdocs\Gretex Corporate main\ipo\b&B-triplewall-containers-Limited.php", "PHP", 136, 0, 0, 0, 13, 149
"c:\xampp\htdocs\Gretex Corporate main\ipo\b-right-Realestate-Limited.php", "PHP", 136, 0, 0, 0, 12, 148
"c:\xampp\htdocs\Gretex Corporate main\ipo\bcpl-railway-Infrastructure-Limited.php", "PHP", 117, 0, 0, 0, 12, 129
"c:\xampp\htdocs\Gretex Corporate main\ipo\bilwin-Industries-Limited.php", "PHP", 135, 0, 0, 0, 14, 149
"c:\xampp\htdocs\Gretex Corporate main\ipo\clara-industries-Limited.php", "PHP", 136, 0, 0, 0, 13, 149
"c:\xampp\htdocs\Gretex Corporate main\ipo\comrade-appliances-limited.php", "PHP", 136, 0, 0, 0, 13, 149
"c:\xampp\htdocs\Gretex Corporate main\ipo\debock-sales-&-marketing-Limited.php", "PHP", 136, 0, 0, 0, 12, 148
"c:\xampp\htdocs\Gretex Corporate main\ipo\deep-Polymers-Limited.php", "PHP", 135, 0, 0, 0, 13, 148
"c:\xampp\htdocs\Gretex Corporate main\ipo\dhruv-wellness-Limited.php", "PHP", 119, 0, 0, 0, 14, 133
"c:\xampp\htdocs\Gretex Corporate main\ipo\diggi-multitrade-Limited.php", "PHP", 100, 0, 0, 0, 13, 113
"c:\xampp\htdocs\Gretex Corporate main\ipo\flywings-simulator-training-center-limited.php", "PHP", 80, 0, 0, 0, 11, 91
"c:\xampp\htdocs\Gretex Corporate main\ipo\g-m-polyplast-Limited.php", "PHP", 119, 0, 0, 0, 11, 130
"c:\xampp\htdocs\Gretex Corporate main\ipo\gnh-india-pharmaceuticals-limited.php", "PHP", 80, 0, 0, 0, 13, 93
"c:\xampp\htdocs\Gretex Corporate main\ipo\goel-food-products-Limited.php", "PHP", 140, 0, 0, 0, 14, 154
"c:\xampp\htdocs\Gretex Corporate main\ipo\index.php", "PHP", 1211, 0, 0, 2, 63, 1276
"c:\xampp\htdocs\Gretex Corporate main\ipo\innokaiz-India-limited.php", "PHP", 139, 0, 0, 0, 14, 153
"c:\xampp\htdocs\Gretex Corporate main\ipo\interiors-and-more-limited.php", "PHP", 140, 0, 0, 0, 12, 152
"c:\xampp\htdocs\Gretex Corporate main\ipo\jash-dealmark-Limited.php", "PHP", 139, 0, 0, 0, 16, 155
"c:\xampp\htdocs\Gretex Corporate main\ipo\jayant-infratech-limited.php", "PHP", 140, 0, 0, 0, 11, 151
"c:\xampp\htdocs\Gretex Corporate main\ipo\kalyani-cast-tech-limited.php", "PHP", 160, 0, 0, 0, 12, 172
"c:\xampp\htdocs\Gretex Corporate main\ipo\kids-medical-System-Limited.php", "PHP", 160, 0, 0, 0, 12, 172
