"filename", "language", "PHP", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\about\index.php", "PHP", 6, 0, 0, 0, 6
"c:\xampp\htdocs\Gretex Corporate main\contact.php", "PHP", 182, 0, 0, 32, 214
"c:\xampp\htdocs\Gretex Corporate main\csr\index.php", "PHP", 0, 0, 0, -1, -1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\ipo.css", "CSS", 0, 142, -1, 16, 157
"c:\xampp\htdocs\Gretex Corporate main\css\about\about.css", "CSS", 0, -1, 0, 0, -1
"c:\xampp\htdocs\Gretex Corporate main\css\contact.css", "CSS", 0, 255, -3, 68, 320
"c:\xampp\htdocs\Gretex Corporate main\css\global.css", "CSS", 0, 89, 4, 15, 108
"c:\xampp\htdocs\Gretex Corporate main\css\index.css", "CSS", 0, 174, -182, 27, 19
"c:\xampp\htdocs\Gretex Corporate main\css\offer-documents\open-offer-template-main\open-offer-template.css", "CSS", 0, 241, 2, 38, 281
"c:\xampp\htdocs\Gretex Corporate main\css\offer-documents\open-offer\open-offer.css", "CSS", 0, 633, 2, 98, 733
"c:\xampp\htdocs\Gretex Corporate main\css\services\service copy.css", "CSS", 0, -556, -4, -125, -685
"c:\xampp\htdocs\Gretex Corporate main\css\services\service.css", "CSS", 0, -382, -3, -76, -461
"c:\xampp\htdocs\Gretex Corporate main\css\services\services copy.css", "CSS", 0, -562, -5, -101, -668
"c:\xampp\htdocs\Gretex Corporate main\css\services\services.css", "CSS", 0, -546, -183, -111, -840
"c:\xampp\htdocs\Gretex Corporate main\css\what-we-do\capital-markets\ipo.css", "CSS", 0, 382, 3, 76, 461
"c:\xampp\htdocs\Gretex Corporate main\css\what-we-do\service copy.css", "CSS", 0, 556, 4, 125, 685
"c:\xampp\htdocs\Gretex Corporate main\css\what-we-do\services copy.css", "CSS", 0, 562, 5, 101, 668
"c:\xampp\htdocs\Gretex Corporate main\css\what-we-do\services.css", "CSS", 0, 690, 7, 129, 826
"c:\xampp\htdocs\Gretex Corporate main\footer.php", "PHP", 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\header.php", "PHP", 51, 0, 0, 4, 55
"c:\xampp\htdocs\Gretex Corporate main\index.php", "PHP", -82, 0, 0, -7, -89
"c:\xampp\htdocs\Gretex Corporate main\ipo\a-m-febcon-limited.php", "PHP", -119, 0, 0, -17, -136
"c:\xampp\htdocs\Gretex Corporate main\ipo\aaron-industries-limited.php", "PHP", -117, 0, 0, -14, -131
"c:\xampp\htdocs\Gretex Corporate main\ipo\aki-india-limited.php", "PHP", -77, 0, 0, -12, -89
"c:\xampp\htdocs\Gretex Corporate main\ipo\akme-fintrade-India-limited.php", "PHP", -77, 0, 0, -12, -89
"c:\xampp\htdocs\Gretex Corporate main\ipo\amic-forging-limited.php", "PHP", -116, 0, 0, -14, -130
"c:\xampp\htdocs\Gretex Corporate main\ipo\anuroop-packaging-limited.php", "PHP", -134, 0, 0, -12, -146
"c:\xampp\htdocs\Gretex Corporate main\ipo\associated-coaters-limited.php", "PHP", -96, 0, 0, -12, -108
"c:\xampp\htdocs\Gretex Corporate main\ipo\b&B-triplewall-containers-Limited.php", "PHP", -136, 0, 0, -13, -149
