"filename", "language", "PHP", "CSS", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\gretex-rights-issue.php", "PHP", 96, 0, 0, 0, 9, 105
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\index.php", "PHP", 491, 0, 0, 2, 33, 526
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\investor-charter.php", "PHP", 229, 0, 0, 0, 10, 239
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\investor-complaints.php", "PHP", 818, 0, 0, 0, 24, 842
"c:\xampp\htdocs\Gretex Corporate main\js\script.js", "JavaScript", 0, 0, 8, 1, 0, 9
"c:\xampp\htdocs\Gretex Corporate main\legal\privacy-policy.php", "PHP", 42, 0, 0, 0, 11, 53
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\a-m-febcon-limited\index.php", "PHP", 119, 0, 0, 0, 17, 136
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\aaron-industries-limited.php", "PHP", 117, 0, 0, 0, 14, 131
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\aki-india-limited.php", "PHP", 77, 0, 0, 0, 12, 89
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\akme-fintrade-India-limited.php", "PHP", 77, 0, 0, 0, 12, 89
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\amic-forging-limited.php", "PHP", 116, 0, 0, 0, 14, 130
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\anuroop-packaging-limited.php", "PHP", 134, 0, 0, 0, 12, 146
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\associated-coaters-limited.php", "PHP", 96, 0, 0, 0, 12, 108
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\b&B-triplewall-containers-Limited.php", "PHP", 136, 0, 0, 0, 13, 149
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\b-right-Realestate-Limited.php", "PHP", 136, 0, 0, 0, 12, 148
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\bcpl-railway-Infrastructure-Limited.php", "PHP", 117, 0, 0, 0, 12, 129
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\bilwin-Industries-Limited.php", "PHP", 135, 0, 0, 0, 14, 149
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\clara-industries-Limited.php", "PHP", 136, 0, 0, 0, 13, 149
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\comrade-appliances-limited.php", "PHP", 136, 0, 0, 0, 13, 149
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\debock-sales-&-marketing-Limited.php", "PHP", 136, 0, 0, 0, 12, 148
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\deep-Polymers-Limited.php", "PHP", 135, 0, 0, 0, 13, 148
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\dhruv-wellness-Limited.php", "PHP", 119, 0, 0, 0, 14, 133
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\diggi-multitrade-Limited.php", "PHP", 100, 0, 0, 0, 13, 113
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\flywings-simulator-training-center-limited.php", "PHP", 80, 0, 0, 0, 11, 91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\g-m-polyplast-Limited.php", "PHP", 119, 0, 0, 0, 11, 130
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\gnh-india-pharmaceuticals-limited.php", "PHP", 80, 0, 0, 0, 13, 93
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\goel-food-products-Limited.php", "PHP", 140, 0, 0, 0, 14, 154
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\index.php", "PHP", 1524, 0, 0, 2, 174, 1700
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\innokaiz-India-limited.php", "PHP", 139, 0, 0, 0, 14, 153
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\interiors-and-more-limited.php", "PHP", 140, 0, 0, 0, 12, 152
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\jash-dealmark-Limited.php", "PHP", 139, 0, 0, 0, 16, 155
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\jayant-infratech-limited.php", "PHP", 140, 0, 0, 0, 11, 151
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\kalyani-cast-tech-limited.php", "PHP", 160, 0, 0, 0, 12, 172
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\kids-medical-System-Limited.php", "PHP", 160, 0, 0, 0, 12, 172
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\mac-hotels-Limited.php", "PHP", 143, 0, 0, 0, 12, 155
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\markolines-traffic-Controls-Limited.php", "PHP", 144, 0, 0, 0, 11, 155
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\misquita-engineering-limited.php", "PHP", 138, 0, 0, 0, 12, 150
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\moving-media-entertainment-limited.php", "PHP", 80, 0, 0, 0, 12, 92
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\niks-technology-Limited.php", "PHP", 118, 0, 0, 0, 11, 129
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\oan-industries-limited.php", "PHP", 79, 0, 0, 0, 11, 90
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\omviras-marine-services-limited.php", "PHP", 58, 0, 0, 0, 13, 71
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\owais-metal-mineral-processing-limited.php", "PHP", 160, 0, 0, 0, 12, 172
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\paramount-dye-tec-limited.php", "PHP", 123, 0, 0, 0, 14, 137
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\platinumone-business-Services-Limited.php", "PHP", 140, 0, 0, 0, 12, 152
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\rapid-fleet-management-services-limited.php", "PHP", 80, 0, 0, 0, 11, 91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\rapid-multimodal-logistics-limited.php", "PHP", 158, 0, 0, 0, 11, 169
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\reetech-international-cargo-courier-Limited.php", "PHP", 140, 0, 0, 0, 13, 153
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\resgen-limited.php", "PHP", 181, 0, 0, 0, 11, 192
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\retaggio-industries-limited.php", "PHP", 76, 0, 0, 0, 12, 88
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\retina-paints-limited.php", "PHP", 139, 0, 0, 0, 12, 151
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\riddhi-corporate-services-limited.php", "PHP", 120, 0, 0, 0, 13, 133
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\sagar-diamonds-limited.php", "PHP", 119, 0, 0, 0, 12, 131
